Index;ID;Lat;Lon;Elv;Yr1;YrEnd;Yrs;Name;Prov;Fit
22;1022795;50.45;-125.99;5;2006;2024;16;FANNY ISLAND;BC;Lin
23;1025369;49.05;-123.87;28;1985;2017;32;NANAIMO A;BC;Lin
24;10253G0;49.19;-123.98;114;1980;2007;25;NANAIMO CITY YARD;BC;Lin
25;1025C70;49.21;-123.95;7;1971;1991;20;NANAIMO DEPARTURE BAY;BC;Lin
26;1026273;50.68;-127.37;21;1973;2024;31;PORT HARDY AIRPORT;BC;Lin
27;1026562;49.33;-124.39;58;1983;2024;21;QUALICUM BEACH AIRPORT;BC;Lin
28;1027775;50;-125.58;201;1968;1982;14;STRATHCONA DAM;BC;Lin
29;1030426;48.92;-125.54;26;1980;1999;20;AMPHITRITE POINT;BC;Lin
30;1031413;48.9;-125;61;1975;1986;11;CARNATION CREEK CDF;BC;Lin
31;1032731;49.38;-126.54;5;1969;2023;28;ESTEVAN POINT CS;BC;Lin
32;1036B06;49.31;-124.92;76;1969;2024;35;PORT ALBERNI (AUT);BC;Poly
33;1038205;49.08;-125.77;24;1970;2017;45;TOFINO A;BC;Lin
34;1041710;49.71;-123.53;22;1969;1990;21;CLOWHOM FALLS;BC;Lin
35;1042255;49.98;-123.13;381;1968;1983;15;DAISY LAKE DAM;BC;Lin
36;1045100;49.46;-123.91;7;1979;1998;19;MERRY ISLAND LIGHTSTATION;BC;Lin
37;10459NN;49.48;-123.29;7;2005;2024;20;HOWE SOUND - PAM ROCKS;BC;Lin
38;1046332;49.52;-123.49;125;1964;2024;23;PORT MELLON;BC;Lin
39;1046392;49.83;-124.49;125;1982;2024;40;POWELL RIVER;BC;Lin
40;1047172;49.45;-123.71;86;1983;2024;33;SECHELT AUT;BC;Lin
41;10476F0;49.78;-123.16;53;1982;2024;25;SQUAMISH AIRPORT;BC;Lin
42;1051351;51.93;-131.01;87;1983;2021;10;CAPE ST JAMES;BC;Lin
43;1054503;54.25;-133.05;46;1982;2024;41;LANGARA ISLAND RCS;BC;Lin
44;10551R8;52.93;-132.12;3;1991;2007;11;MORESBY ISLAND MITCHELL INLET;BC;Lin
45;1057051;53.24;-131.81;6;1972;2024;46;SANDSPIT AIRPORT AUTO;BC;Lin
46;1060842;52.36;-126.81;13;1970;1985;16;BELLA COOLA BC HYDRO;BC;Lin
47;1060844;52.38;-126.58;36;1983;2024;38;BELLA COOLA AIRPORT;BC;Lin
48;1063303;54.58;-130.69;9;2007;2024;13;GREY ISLET (AUT);BC;Lin
49;1063461;50.93;-127.63;13;2006;2024;18;HERBERT ISLAND (AUT);BC;Lin
50;1063496;54.17;-130.36;5;2010;2024;15;HOLLAND ROCK;BC;Lin
51;1064324;54.05;-128.63;98;1966;2024;15;KITIMAT FOREST AVE;BC;Poly
52;1066481;54.29;-130.44;35;1970;2004;35;PRINCE RUPERT A;BC;Lin
53;1067742;55.93;-129.98;7;1978;2015;32;STEWART A;BC;Poly
